name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
Eco House,https://openhouselondon.open-city.org.uk/listings/4661,"ONLINE ONLY.

A Georgian fronted terrace house, remodelled in 2016 to create an 'L' shaped modern eco house. Open and private living spaces designed horizontally across the ground floor, quiet relaxation spaces designed vertically.","ONLINE, ONLY, SE5 8JA",51.4731418,-0.088423,00:00:00,23:59:00,No,
Studio Flox,https://openhouselondon.open-city.org.uk/listings/10281,"Studio Flox at Watermans Art Centre is a combined arts centre. It is located in Brentford, England alongside the banks of the River Thames overlooking Kew Gardens in West London, England","WATERMANS PARK, 40A, HIGH STREET, BRENTFORD, TW8 0BB",51.4856009,-0.2987655,09:00:00,13:00:00,No,
