name,url,description,address,latitude,longitude,ticketed_events,fully_booked
Carreducker at 50 Chocolate Studios,https://openhouselondon.open-city.org.uk/listings/8766,"A Victorian chocolate factory conversion with exposed girders, brickwork and Crittal-style windows. 

No 50 was transformed from a flat into a traditional, bespoke shoemaking workshop, showroom and shoe & leather craft training school.","50 Chocolate Studios, 7 Shepherdess Place, N1 7LJ",51.5285506,-0.0907533,True,Unknown
The Ismaili Centre,https://openhouselondon.open-city.org.uk/listings/2063,"Part of an international family of Ismaili Centres, a religious, cultural and social space for the Shia Ismaili Muslim community. The serenity of the entrance fountain to the roof garden reflects Muslim traditions in architecture and design","1-7 Cromwell Gardens, SW7 2SL",51.4956616,-0.1732322,False,False
