name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
"2 Marylebone Road, Which?",https://programme.openhouse.org.uk/listings/10595,"2 Marylebone Road is a Grade II listed, Regency-style mansion in Camden borough, forming part of the Crown Estate. It now houses  offices for consumer champion Which?. In 2016 the building underwent significant renovations in the interior.","2 Marylebone Road, NW1 4DF",51.5246368,-0.1444584,14:30:00,17:00:00,Yes,No
"Canterbury Square SW9- AR in public space ""Holding the Flame""",https://programme.openhouse.org.uk/listings/11263,"Augmented Reality statue for Brixton in conversation with Brixton Police station on the legacy of 1981's Uprising. She breaths & tells a challenging story of loss, love & justice. We discuss the potential for AR to tell hidden narratives.","Canterbury Square ( 51.464776, -0.113776)",51.4648892,-0.1130123,10:00:00,16:00:00,Yes,No
Fore Street Art Trail,https://programme.openhouse.org.uk/listings/11138,Enjoy a self guided walking tour of Fore Street to see a wide range of public art including murals and sculptures.,"Fore Street, Angel Edmonton, Enfield, N18 2UE",51.6157822,-0.0642022,07:00:00,23:45:00,No,
"Grand Junction at St Mary Magdalene Church, Paddington",https://programme.openhouse.org.uk/listings/2527,"Grade I Victorian Gothic church by G E Street, architect of the Royal Courts of Justice. The recent conservation project reveals the majestic colours of Daniel Bell's painted ceiling, plus Dow Jones Architects' contemporary heritage wing.","Rowington Close, St Mary Magdalene's Church",51.5222702,-0.1890094,12:00:00,13:00:00,Yes,No
"NEW DATE! Co-designing Youth Hub, Public Space and Art - Reimagining Wood Green",https://programme.openhouse.org.uk/listings/10818,"Haringey Council, along with our excellent community and artistic partners, invite you on a guided tour through the arts and culture-led projects of the regeneration of Wood Green. You'll hear from artists, architects, and the Council.",close to Noel Park Primary School,51.5956449,-0.1028838,10:00:00,12:00:00,Yes,No
Open House at London Cancer Hub,https://programme.openhouse.org.uk/listings/10953,"The London Cancer Hub is Europe’s leading oncology district and a partnership between The London Borough of Sutton, The Institute of Cancer Research, The Royal Marsden NHS Trust, Epsom and St Helier NHS Trust, Harris Academy and The GLA","The London Cancer Hub, Cotswold Road,, Sutton",51.3457232,-0.1917403,10:00:00,15:00:00,Yes,No
Slavery and the City,https://programme.openhouse.org.uk/listings/9344,"We will explore sites and institutions with direct links to the history of slavery and hear why the apologies were made in 2020, whilst wandering within the story packed streets and alleyways of the Square Mile.","1 Cheapside, EC2V 6AA",51.5148819,-0.097557,11:00:00,13:00:00,Yes,True
TfL - Piccadilly line tour,https://programme.openhouse.org.uk/listings/6608,"Tour of stations designed by Charles Holden for the 1932 Piccadilly line extension north of Finsbury Park The stations demonstrate Holden's modernist vision and simple yet beautiful designs, which mark a new era in Underground architecture.","Manor House station, Green Lanes, N4 1BZ",51.570886,-0.0960443,10:00:00,15:30:00,Yes,True
The Mysterious Black Tudors - Westminster Family Trail,https://programme.openhouse.org.uk/listings/10427,Celebrate the Open House Festival with this fun and interactive family event about Britain's forgotten history of the Black Tudors.,"Westminster Abbey, Broad Sanctuary, SW1P 3JS",51.4993695,-0.1272993,10:30:00,14:30:00,Yes,True
Yorkton Workshops,https://programme.openhouse.org.uk/listings/9012,"Yorkton Workshops was restored from a series of dilapidated Victorian stables into a new permanent studio, archive and workshop for Pearson Lloyd. The space also provides a gallery, event space and location available for hire.","Yorkton Workshops, 1-3 Yorkton Street, E2 8NH",51.5314526,-0.0689075,10:00:00,18:00:00,No,
