name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
1.20 Oxo Tower Wharf,https://openhouselondon.open-city.org.uk/listings/8766,"Unit 1.20 is one of 25 workshop and retail units in Oxo Tower Wharf and overlooks the courtyard towards the Bargehouse building from the first floor walkway. It is a multi-purpose space used as a workshop, showroom and teaching space.","Unit 1.20, The Courtyard, Oxo Tower Wharf, Bargehouse Street , SE1 9PH",51.5083463,-0.1082762,10:00:00,12:30:00,Yes,Unknown
Millennium Mills,https://openhouselondon.open-city.org.uk/listings/8218,"Built in the early 20C by flour company Spillers, the Art Deco landmark has stood vacant since the decline of the docks as a working port in the 1980s.","North Woolwich Road, Royal Docks, E16 1UR",51.5046357,0.0276533,09:30:00,21:00:00,Yes,Unknown
"Tales of the Elephant: Past, present and future architecture",https://openhouselondon.open-city.org.uk/listings/10400,"In its heyday, Elephant & Castle was known as the ‘Piccadilly Circus of South London’, but for decades it has been synonymous with urban decay and failed planning. The ‘Elephant’ is a fascinating, vibrant neighbourhood with a rich history","St. George’s Circus, SE1 6HS",51.4987041,-0.1047396,14:00:00,16:30:00,No,
The Event Space,https://openhouselondon.open-city.org.uk/listings/10287,"Twenty artists from Redlees Studios in Isleworth are delighted to be  exhibiting at Brentford Project Event Space. You will find jewellery, paintings, ceramics, textiles and mixed media artwork. Enjoy discovering contemporary art.","Brentford Project Event Space, Catherine Wheel Road, Brentford, TW8 8BD",51.4821386,-0.306442,18:00:00,21:00:00,No,
The Ismaili Centre,https://openhouselondon.open-city.org.uk/listings/2063,"Part of an international family of Ismaili Centres, a religious, cultural and social space for the Shia Imami Ismaili Muslims. The serenity of the entrance fountain to the roof garden reflects Muslim traditions in architecture and design","1-7 Cromwell Gardens, SW7 2SL",51.4955821,-0.1731175,11:30:00,15:30:00,No,
