name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
Baitul Amn Mosque,https://programme.openhouse.org.uk/listings/9203,"Guided Tour of the Mosque. Learn about the purpose of a mosque, listen to the call for prayer, observe worshippers offering prayers, ask any questions, get free souvenirs & literature. Refreshments will be served throughout the day","Baitul Amn Mosque, Royal Lane, Uxbridge",51.5234316,-0.4661311,09:00:00,21:00:00,No,
Fore Street Art Trail,https://programme.openhouse.org.uk/listings/11138,Enjoy a self guided walking tour of Fore Street to see a wide range of public art including murals and sculptures.,"Fore Street, Angel Edmonton, Enfield, N18 2UE",51.6157822,-0.0642022,07:00:00,23:45:00,No,
Yorkton Workshops,https://programme.openhouse.org.uk/listings/9012,"Yorkton Workshops was restored from a series of dilapidated Victorian stables into a new permanent studio, archive and workshop for Pearson Lloyd. The space also provides a gallery, event space and location available for hire.","Yorkton Workshops, 1-3 Yorkton Street, E2 8NH",51.5314526,-0.0689075,10:00:00,18:00:00,No,
