name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
1 Pontypool Place,https://programme.openhouse.org.uk/listings/13620,Tour of home & garden designed in 2018 by Nagan Johnson Architects,"1 Pontypool Place London London, Greater London, SE1 8QF",51.50192,-0.10591,13:00:00,20:30:00,Yes,No
"141 Coldershaw Road, W13",https://programme.openhouse.org.uk/listings/13626,"The home of Eric and Jessica Huntley , community activists and educators who founded the pioneering company Bogle-L'Ouverture Publications in 1968, lived and ran their bookshop from this semi detached property soon after.  The house is a Black British cultural archivists dream; filled with books, arts and craft and correspondence from the 1960s to the present day.","141 Coldershaw Road, Ealing, W13 9DU",51.50504,-0.32522,12:00:00,17:00:00,No,
60 Years of the BT Tower: Signals and Sightlines,https://programme.openhouse.org.uk/listings/13699,"60 years on from the opening of the BT Tower, and amidst its sale to a hotel consortium, participants are invited on a research-led walk around Fitzrovia to reflect on the hidden stories and unseen infrastructures that contribute to the creation of the city and its green spaces.","The Building Centre, 26 Store Street, WC1E 7BT",51.51949,-0.13151,14:00:00,16:30:00,Yes,No
Andaz London Liverpool Street,https://programme.openhouse.org.uk/listings/11391,"Andaz London Liverpool Street, a concept by Hyatt, blends rich history dating back to the 1200s with modern decor and the vibrant energy of its London neighborhood.

Step inside and join us for an open house tour led by our dedicated team!","Andaz London, 40 Liverpool Street, EC2M 7QN",51.517312,-0.0813472,15:00:00,15:30:00,Yes,No
Barnard's Inn Hall,https://programme.openhouse.org.uk/listings/4838,"Barnard's Inn in Holborn dates back to the mid-13th century. It is now the home of Gresham College which has been providing free public lectures since 1597. Over the centuries it has been a law school and home to the Mercers' School. Notable architectural elements include 15th-century wooden bays, 16th-century linen fold wood panelling, and has the only surviving crown posts in Greater London.","Barnard's Inn Hall, Holborn, EC1N 2HH",51.5175436,-0.1098755,10:00:00,16:00:00,No,
Bodney Road Studios,https://programme.openhouse.org.uk/listings/13651,"Bodney Road Studio's is home to a range of practitioners working in the built environment including architectural photographer Lorenzo Zandri, graphic designers Polytechnic and place futurists The Place Bureau. Join us on 19–20 September when we will open the studios in conjunction with a programme of exhibitions and events by Lorenzo Zandri, Polytechnic, Sammi Gale and The Place Bureau.","1 Bodney Road, E8 1AY",51.55002,-0.06106,15:30:00,17:45:00,Yes,No
Borough Yards: Panel discussion,https://programme.openhouse.org.uk/listings/13789,"Borough Yards is a vibrant cultural and retail quarter at the heart of London Bridge’s culinary and creative scenes. Set within historic railway arches and revived Victorian streets, Borough Yards is a neighbourhood designed to bring people together through shops, restaurants, pop-ups and year-round cultural programming.","Stoney Street, SE1 9AD",51.50571,-0.09149,15:00:00,16:30:00,Yes,No
Boston Manor House,https://programme.openhouse.org.uk/listings/10142,"Boston Manor House is a Jacobean House built for Lady Mary Reade in 1623 and later owned by the Clitherow family from the 1670s until the 1920s. The House is now open to the public with free entry six days a week. Its beautifully restored historic interiors, including breath-taking ornate plasterwork, are joined by two community exhibition galleries, meeting rooms and an attractive modern café.","Boston Manor House, Boston Manor Road, Brentford, TW8 9JX",51.49191829999999,-0.3183739,11:30:00,16:00:00,Yes,No
Burlington House: Linnean Society of London,https://programme.openhouse.org.uk/listings/2074,"The world's oldest active biological society. Founded in 1788, the Society takes its name from the Swedish naturalist Carl Linnaeus whose botanical, zoological and library collections have been in its keeping since 1829.","Piccadilly, W1J 0BF",51.50853,-0.13911,10:00:00,17:00:00,No,
Burlington House: Society of Antiquaries of London,https://programme.openhouse.org.uk/listings/1651,"The Society of Antiquaries of London has been exploring the material past since the early eighteenth century. In the 1870s, the Society set up home in purpose-built grade II* listed apartments in Burlington House, with a grand galleried library housing 130,000 books. Today's membership of 3,000 Fellows are leading experts in archaeology, history, art, architecture, and heritage.","Burlington House, Piccadilly, W1J 0BE",51.50846,-0.13894,11:00:00,16:00:00,Yes,No
"Common Edge: Art, Community and Protest in Wanstead and Leytonstone",https://programme.openhouse.org.uk/listings/13716,"This walk explores how artists, activists and local communities have contested, defended and reimagined urban space across Wanstead Flats and Leytonstone. From the struggle to protect common land and Epping Forest to the creative resistance of the M11 protests and contemporary grassroots projects, we uncover histories of collective action, cultural imagination and alternative visions for the city.","Wanstead underground station, E11 2RL",51.57565,0.02866,14:30:00,17:00:00,Yes,No
Conway Hall,https://programme.openhouse.org.uk/listings/3425,"The home of Conway Hall Ethical Society, an organisation renowned as a hub for progressive thought. Grade II listed building with both Arts and Crafts and Art Deco features adding to its distinctive style.","25 Red Lion Square, WC1R 4RL",51.51987740000001,-0.118179,13:00:00,18:30:00,Yes,No
County Hall Kingston,https://programme.openhouse.org.uk/listings/13682,"London Square presents a rare opportunity to live within the sensitively restored former Surrey County Hall, complemented by a striking collection of contemporary new-build homes and commercial areas for hire.

Set in the heart of Kingston, residents enjoy a riverside town rich in culture, green spaces, shopping and dining - all with excellent connection to London and beyond.","Penrhyn Road, Kingston, KT1 2DN",51.40435,-0.30416,11:00:00,16:00:00,Yes,No
Croydon Urban Room,https://programme.openhouse.org.uk/listings/12687,"The Croydon Urban Room is a space to talk about the past, present and future of the Croydon town centre. Through conversa­tions, stories, exhibitions and events, the Urban Room brings together the views of those who live, work and visit the area to create a shared vision of the future and test new uses live in action.","Units 161-162 & 1161-1162 Whitgift Centre, CR0 1UQ",51.37522,-0.10075,10:00:00,16:00:00,No,
Designed to be forgotten: women in South Kensington,https://programme.openhouse.org.uk/listings/13148,"On this  walk you will see some of the forgotten contributions of Victorian women to the magnificent buildings of South Kensington, in particular the V&A and the Royal Albert Hall. 

You will also see how women were represented very differently from men on the buildings and memorials of this internationally important arts and science district.","Outside the V&A Exhibition Road Entrance, Exhibition Road, SW7 2PA",51.49695,-0.17349,11:00:00,12:15:00,Yes,No
Destination Battersea,https://programme.openhouse.org.uk/listings/13722,"This tour explores the evolution of Battersea, with a particular focus on its role as a destination for Londoners. From the days of the Red House Tavern, through the post-war Festival of Britain's Pleasure Gardens, to the modern-day Battersea Power Station, this stretch of London along the River Thames has long offered opportunities for leisure, entertainment, and discovery.","Battersea Park Railway Station, Battersea Park Road, Nine Elms",51.47695,-0.14769,11:00:00,13:00:00,Yes,No
E.ON's Citigen energy centre,https://programme.openhouse.org.uk/listings/12219,"Hidden behind two Listed Building facades opposite Smithfield Market, and spread across eight floors below and above ground, E.ON's Citigen energy centre produces electricity, heat and cooling to buildings across the Square Mile.","47-53 Charterhouse St, EC1M 6PB",51.51927,-0.10418,10:00:00,16:00:00,Yes,No
Eastbury Manor House,https://programme.openhouse.org.uk/listings/304,"One of the finest surviving Elizabethan red brick Manor houses- Grade I listed. Contains 17th Century wall-paintings, charming walled garden and a fine Tudor tower with original stairs. Many original features have been restored and layout remains mostly unchanged in over 400 years.","Eastbury Manor House, Eastbury Square, Barking, IG11 9SN",51.5343105,0.0995563,10:00:00,16:00:00,Yes,No
Explore the authentically recreated Colony Room,https://programme.openhouse.org.uk/listings/12933,"A revival and love letter to London’s lost bohemia. Travel back in time to the legendary haunt of some of Soho's greatest creatives.   Featuring pictures, press cuttings and even the piano from the much loved private members club.","4 Heddon Street, W1B 4BS",51.51092,-0.13932,14:00:00,23:00:00,No,
Fitzrovia Chapel,https://programme.openhouse.org.uk/listings/6534,"Loughborough Pearson's red brick building is unimposing from the outside, but inside is a riot of Gothic Revival design. Golden mosaics reveal the character of the Grade II* listed chapel, built as part of the Middlesex Hospital.","2 Pearson Square, Fitzroy Place, W1T 3BF",51.51895,-0.13826,11:00:00,16:00:00,No,
Fleet Street Heritage Wall and Sundial,https://programme.openhouse.org.uk/listings/10644,"The Fleet Street Heritage Wall comprises 86 A3 information panels about the people, places, ideas and newspapers which made the name o Fleet Street famous throughout the world.  From 17th to 20th Sept frequent talks will be given on thesundial and the Heritage Wall, and its innovative design features which will  mqke it accessible to all comers through web pages, Easy Read pages, and audio files","61 Fleet Street, EC4Y 1JU",51.51412879999999,-0.1080343,10:00:00,16:00:00,No,
From Forest to Morris: A walk around Walthamstow,https://programme.openhouse.org.uk/listings/11296,"A walk around historic Walthamstow showing how this unique area grew from a village into a thriving suburb, its social history and the variety of buildings that can be found where Epping Forest meets William Morris.",Outside Costa Coffee at Walthamstow Central Station 5 Station Approac,51.5828202,-0.0194102,11:00:00,13:00:00,Yes,No
From bomb site to blueprint: walking the rebuilt City,https://programme.openhouse.org.uk/listings/13712,"Laying Blitz photographs against the streets of today, this tour traces the rebuilding of the City around St Paul's from rival postwar blueprints to pocket parks and privately-owned public spaces. We look at what today’s business district replaced and also at the remnants of conflict still visible in the streets today.","Statue of Queen Anne, St. Paul's Churchyard, EC4M 8AY",51.51368,-0.09993,10:30:00,12:30:00,Yes,No
Garage Gallery E17,https://programme.openhouse.org.uk/listings/13170,"In 2022 we created an art gallery in the garage below our house in a residential street in Walthamstow village.   We aim to bring art into our community, acting as a resource to support artists on a not-for-profit basis.  By the time of Open House we will have hosted 26 exhibitions in a wide range of media, by both emerging and more experienced artists.","39 WINGFIELD ROAD, E17 9NN",51.58081,-0.01252,10:00:00,17:00:00,Yes,No
Green Lodge,https://programme.openhouse.org.uk/listings/13757,"Green Lodge is a low-energy family home by Stylus Architects, carefully embedded into the landscape of Putney Heath. Much of the accommodation is concealed below ground, allowing the building to maintain a modest presence whilst bringing natural light into every room through a series of lightwells and rooflights.","56 Roehampton High Street, SW15 4HJ",51.45098,-0.23711,10:00:00,16:00:00,No,
Herne Hill Velodrome,https://programme.openhouse.org.uk/listings/13624,"Herne Hill Velodrome, opened in 1891, hosted track cycling events for the 1948 Olympics, is now home to a thriving grassroots cycling facility - hosting everything from Learn to Cycle to local and international racing events. 
HHV overcame the threat of closure in the early 2000s, and a new pavilion, designed by Mike Taylor of Hopkins Architects, opened in 2017.","104 Burbage Road, SE24 9HE",51.45121,-0.09099,18:00:00,20:30:00,Yes,No
Hounslow House,https://programme.openhouse.org.uk/listings/12032,"The London Borough of Hounslow's 2019 contemporary home designed by Sheppard Robson, with iconic iridescent façade and public and private spaces stitched together by a bold and sculptural staircase, is open for architectural tours led by Hounslow Council's Culture team.","7 Bath Rd, Hounslow, TW3 3EB",51.46843,-0.36726,09:45:00,13:00:00,Yes,No
IMPACT Community Arts Centre,https://programme.openhouse.org.uk/listings/12809,We are a theatre company for performers and artists with learning disabilities in the West London area. We will put on an exhibition of artworks and costumes at our Community Arts Centre.,"Ealing Central Sports Ground, Horsenden Lane South, Greenford",51.53539,-0.32577,10:00:00,16:00:00,No,
Ibraaz,https://programme.openhouse.org.uk/listings/13822,"Ibraaz is a London-based cultural institution for art, ideas, and dialogue from the Global Majority. Bringing together artists, thinkers, and communities through exhibitions, film, debate, publishing, and multidisciplinary programming, Ibraaz creates a brave space where culture fosters exchange, pluralism, and shared humanity.","93 Mortimer Street, W1W 7SS",51.51741,-0.14195,15:30:00,16:30:00,No,
JCDecaux UK – Tour & Presentation,https://programme.openhouse.org.uk/listings/13737,"JCDecaux, the world’s largest Out-of-Home advertising company, invites you inside its iconic Grade II listed HQ for a special event. The morning will feature a talk by local historian James Marshall, an overview of the building’s restoration and adaptation by Foster + Partners in 1997 with sensitive preservation of its period frontage, and a tour of its architecturally designed street furniture.","991 Great West Road, Brentford, Middlesex, TW8 9DN",51.48564,-0.31799,10:00:00,11:30:00,Yes,No
Jewish Westminster,https://programme.openhouse.org.uk/listings/13880,"Ths walk will look at the history of Jewish Communities in England, starting with the medieval period through to the expulsion in 1290 and redmission under Oliver Cromwell in 1656. It will also look at some of the Jewish people living as Christians between these times and the key contributions Jews have made to many of the key landmarks in London  as well as England's political life.","Charing Cross Station - Eleanor Cross, WC2N 5HS",51.50843,-0.1253,13:00:00,15:00:00,Yes,No
London National Park City Visitors Centre,https://programme.openhouse.org.uk/listings/12692,"London is the world's first National Park City, and our visitors centre at 80 Mortimer Street is the entry point to hundreds of places to visit and things to do across a greener, healthier and wilder London.","80 Mortimer St, W1 7FE",51.51756,-0.14246,10:00:00,19:30:00,Yes,No
London Open Form Pavilion of Air,https://programme.openhouse.org.uk/listings/11855,"A floating acoustic architecture, playfully reframing public space as an essential community engagement through sound & site mapping. Accessed by smartphone, headphones & echoes.xyz app, the Pavilion is located outside the Serpentine Gallery,. Drawing on Oskar & Zofia Hansen’s Open Form architectural concept it is one of 15 in a series including Venice, Berlin, Dublin, Bergen and Arctic Norway.","Kensington Gardens, W2 3XA",51.50466,-0.17464,06:00:00,19:30:00,No,
Lorenzo Zandri - Urban Narrative,https://programme.openhouse.org.uk/listings/13652,"During the festival, Lorenzo Zandri’s studio transforms into an immersive environment that bridges the gap between architectural theory and photographic practice. Eschewing traditional construction to focus on the 'process of the image’, Zandri will present an analytical overview of his practice and research – where photography serves as a tool for urban narrative rather than mere documentation.","Bodney Road Studios, 1 Bodney Road, Unit 2, E8 1AY",51.55002,-0.06096,18:00:00,20:00:00,Yes,No
Memorial Community Church,https://programme.openhouse.org.uk/listings/12965,"Formerly known as Memorial Baptist Church this Grade II listed building opened in 1922, it retains many original features. Open House will include access to the church, gallery and bell tower, and information on church history. 18th September at 7pm Lydia Thornley will lead a talk on the craft skills used in the building, and on the 19th 3.30-6pm there is a sketching workshop","387-395 Barking Road, Plaistow, E13 8AL",51.52302,0.02405,15:00:00,20:00:00,Yes,No
