name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
'Art in Every Day Life' Heritage Trail,https://programme.openhouse.org.uk/listings/13130,Walk along new heritage trail exploring the lost heritage of Gilbert Bayes' 'Art in Everyday Life' sculptures scattered across the St Pancras Housing Estates.,"People's Museum, 52 Phoenix Road, NW1 1ES",51.53106,-0.13095,14:00:00,16:00:00,Yes,No
1.20 Oxo Tower Wharf,https://programme.openhouse.org.uk/listings/8766,"Carreducker bespoke shoemakers and Shoe & Leather School is located at Unit 1.20, one of 25 workshop and retail units in Oxo Tower Wharf. It overlooks the courtyard towards the Bargehouse building from the first floor walkway and is a multi-purpose space used as a workshop, showroom and teaching space.","Unit 1.20, The Courtyard, Oxo Tower Wharf, SE1 9PH",51.50846,-0.10827,12:00:00,16:00:00,No,
10 Downing Street,https://programme.openhouse.org.uk/listings/2738,10 Downing Street has been the residence of British Prime Ministers since 1735. Behind its famous black door the most important decisions affecting Britain for nearly 300 years have been taken.,"10 Downing Street, SW1A 2AA",51.503541,-0.1276699,11:30:00,13:00:00,Yes,Yes
11 Hungerford Road,https://programme.openhouse.org.uk/listings/12639,"Victorian Tardis. The original house dates from 1864, but was completely redeveloped in 1984 and fine tuned in 1993 and in 2023 by three different architects. Double height and open interiors contrast with a Victorian facade. Tea, coffee and cakes with all funds raised to go to Shelter will be on sale all day. . Cash only @ £5 per drink and cake.","11 Hungerford Road, N7 9LA",51.55154,-0.12282,12:00:00,17:30:00,Yes,No
2 Belgrave Road: Victorian house with Luis Barragán inspired interior,https://programme.openhouse.org.uk/listings/13700,"A Luis Barragán inspired design for the interior of a typical late Victorian house in East London. 
The use of bold vivid colour banishes the sterility that can accompany modernism without the loss of its hallmark simplicity and elegant line. This approach can be accommodated within houses whose external architecture has a very different heritage. Its achievement does not require a big budget","2 Belgrave Road, E17 8QE",51.57916,-0.02119,11:00:00,16:30:00,No,
31 Milton Road,https://programme.openhouse.org.uk/listings/7479,"A three-storey Victorian house was split into flats in the 1970s.  The current owners have turned it back into single family home, with a large open-plan ground floor, professional kitche and Mediterranean garden, revealing long-hidden Victorian features in the process.
Last year the loft was converted into an airy master bedroom and en suite with views of both sunrise and sunset.","31 Milton Rd , Churchfield Village, Acton, W3 6QA",51.5096193,-0.264048,16:00:00,19:30:00,No,
6 Wood Lane,https://programme.openhouse.org.uk/listings/6915,"A double-height ark floats above a masonry base & entrance footbridge.  Off the elevated living area a smokers' balcony overlooks the lush garden below. Above, semi circular terrace and winter garden nestle within the wooded surrounds.","6 Wood Lane, Highgate, N6 5UB",51.57834,-0.14663,10:00:00,16:30:00,Yes,No
"9 Wavell Court, Croydon",https://programme.openhouse.org.uk/listings/13285,"Wavell Court is a 1975 terrace of 17 houses, with each plot only 3.7m wide. The original designers ambitiously attempted to squeeze all the components of a functional 3-storey family home into the minimal possible width. No. 9 has been sensitvely restored to an appropriate mid-century style by the two architects who live there.","9 Wavell Court, 9 Elgin Road, Croydon, CR0 6XB",51.37633,-0.07964,13:00:00,16:00:00,Yes,No
A Ruskinian Walk Through Shared Heritage,https://programme.openhouse.org.uk/listings/4686,"Ruskinian walk from RIBA award-winning Chiswick Business Park, Gunnersbury Triangle Nature Reserve through South Acton Estate, birthplace of artist Patrick Caulfield; Woodlands Park Ice House; to home of William Willett, initiator of Daylight Saving Time.","Building 3, Chiswick Business Park, 566 Chiswick High Road, W4 5YA",51.49461,-0.27587,14:00:00,16:30:00,Yes,No
"Air Raid Shelter, St Leonards Court",https://programme.openhouse.org.uk/listings/5819,"The Air Raid Shelter was first built in 1939 for the the residents of St Leonards Court. A dormitory annex with 48 beds was added in 1940.  Some of the original features, such as handmade lampshades, are remarkably well preserved.","Palmers Road, East Sheen, SW14 7NG",51.4671716,-0.2694297,13:00:00,17:00:00,No,
Alexandra Road Estate Flat 85B (Rowley Way),https://programme.openhouse.org.uk/listings/12110,"Visit a recently refurbished apartment of Neave Brown’s Alexandra Road Estate in Camden. This is a 3 bed maisonette flat, lower ground and ground floor levels on block B along the pedestrian Rowley Way.","85b Rowley Way, NW8 0SN",51.5404,-0.18237,14:00:00,17:00:00,Yes,No
All Saints Carshalton,https://programme.openhouse.org.uk/listings/3749,"12C south aisle and former chancel. Blomfield nave, chancel, baptistry. Kempe glass, Bodley reredos and screen, spectacular Comper decorations, monuments and brasses, award-winning lighting scheme, fine modern benches.","High Street, Carshalton, SM5 3AG",51.36488,-0.16291,12:00:00,17:00:00,No,
"All Saints Church, Edmonton",https://programme.openhouse.org.uk/listings/11274,"Listed Grade ll* and celebrating its 890th year, All Saints Church  has aspects of the fabric dating back to at least early C12 with further modification and additions in the 15th, 17th and 19th centuries.  Charles and Mary Lamb lived on Church Street, where the church is situated and are buried in the Garden of Remembrance within the churchyard.","All Saints Church, Church Street, N9 9AT",51.62622649999999,-0.065944,12:00:00,16:00:00,No,
Argentine Ambassador's Residence,https://programme.openhouse.org.uk/listings/2060,"During the Open House Festival people will have the unique opportunity to explore the historic mansion.  Opening its doors on this special occasion, visitors will enjoy unprecedented access to the Argentine Ambassador's Residence in the UK and explore a glimpse of our culture through an art exposition of different Argentine artists.","49 Belgrave Square, SW1X 8QZ",51.50055039999999,-0.1531897,10:00:00,17:00:00,No,
Avery Hill Winter Garden,https://programme.openhouse.org.uk/listings/13806,"The Avery Hill Winter Garden is a remarkable Victorian glasshouse set within the historic Avery Hill estate in southeast London. Built in the late 19th century, it was once home to an extensive collection of exotic plants and remains one of London’s largest surviving Victorian winter gardens.","Avery Hill Park, SE9 2PQ",51.44821,0.07451,10:00:00,16:00:00,No,
