name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
'Tomorrow is Built Today' exhibition of Black-led self-build,https://programme.openhouse.org.uk/listings/11168,Open House of 13 Nubia Way  and oral history exhibition of Europe's largest black-led community self-build for rent initiative including archive material and new video. https://sites.gold.ac.uk/inlivingmemory/tomorrow-is-built-today/,"13, Nubia Way, Downham, Bromley, BR1 5HY",51.429857,0.0032383,11:00:00,16:00:00,No,
1 Halliwick Road,https://programme.openhouse.org.uk/listings/8767,"A low energy refurbishment of an Edwardian house, with rear extension and loft conversion. Wood fibre insulation, MVHR, airtightness layer, triple glazing, timber structure and low embodied energy materials.","1 Halliwick Road, N10 1AA",51.60119,-0.14849,10:00:00,17:00:00,No,
1 Pontypool Place,https://programme.openhouse.org.uk/listings/13620,Tour of home & garden designed in 2018 by Nagan Johnson Architects,"1 Pontypool Place London London, Greater London, SE1 8QF",51.50192,-0.10591,13:00:00,18:00:00,Yes,No
1 Waterlow Court,https://programme.openhouse.org.uk/listings/12542,Grade II* listed Arts and Crafts gem  designed by Baillie-Scott,"Flat 1 Waterlow Court, Heath Close, NW11 7DT",51.57321,-0.18874,13:00:00,15:00:00,No,
"141 Coldershaw Road, W13",https://programme.openhouse.org.uk/listings/13626,"The home of Eric and Jessica Huntley , community activists and educators who founded the pioneering company Bogle-L'Ouverture Publications in 1968, lived and ran their bookshop from this semi detached property soon after.  The house is a Black British cultural archivists dream; filled with books, arts and craft and correspondence from the 1960s to the present day.","141 Coldershaw Road, Ealing, W13 9DU",51.50504,-0.32522,12:00:00,17:00:00,No,
195 Mare Street,https://programme.openhouse.org.uk/listings/11871,195 Mare Street,"195 Mare St, E8 3QE",51.54083,-0.05545,11:00:00,16:00:00,Yes,No
2 Belgrave Road: Victorian house with Luis Barragán inspired interior,https://programme.openhouse.org.uk/listings/13700,"A Luis Barragán inspired design for the interior of a typical late Victorian house in East London. 
The use of bold vivid colour banishes the sterility that can accompany modernism without the loss of its hallmark simplicity and elegant line. This approach can be accommodated within houses whose external architecture has a very different heritage. Its achievement does not require a big budget","2 Belgrave Road, E17 8QE",51.57916,-0.02119,11:00:00,16:30:00,No,
7 Meadow Lane,https://programme.openhouse.org.uk/listings/12942,"Open House of 7 Meadow Lane, Charmaine McNally’s home and garden. Charmaine was one of the self-build leaders in this 14 home women-led community self-build scheme.  Meadow Lane was originally the third of  Fusion Jameen’s schemes. Tim Oshodi was engaged as self-build consultant, with project management and cost control provided by Survey Design Partnership and Martin Hughes, the contracts manager","7 Meadow Lane, SE12 9TE",51.43022,0.02709,11:00:00,16:00:00,No,
81 Columbia Road,https://programme.openhouse.org.uk/listings/12567,Step into the historic charm of 81 Columbia Road Flower Market in East London.  This iconic Victorian terraced house functions as a space for a local artist who has focussed on photographs of London architecture and life.,"81 Columbia Road, E2 7RG",51.5297,-0.0691,11:00:00,16:00:00,No,
A House for Artists,https://programme.openhouse.org.uk/listings/7861,"A House for Artists (AHFA) is an experiment in communal living and working, that seeks to embed artists very directly into the local community in a meaningful way. The model combines 12 rented flats, occupied by artists and their families/flatmates, with a ground floor community/work space. Each artist in the house volunteers their time to shape different strands of a growing public programme.","36 Linton Rd, Barking, IG11 8SE",51.53976280000001,0.07782059999999999,11:00:00,16:00:00,Yes,No
ACAVA Camden Undercraft Studios,https://programme.openhouse.org.uk/listings/13633,"ACAVA Undercraft Studios
A vital creative hub in Gospel Oak, home to 34 fully accessible artist studios and 10 community organisations.","Blue Double Door, 48-72 Ludham, Lismore Circus,, NW5 4SF",51.55286,-0.15496,10:00:00,16:00:00,No,
Aga Khan Centre,https://programme.openhouse.org.uk/listings/7273,"The Aga Khan Centre, designed by Pritzker prize winning architect Fumihiko Maki, houses the UK institutions of the Aga Khan Development Network. A unique feature is its six gardens inspired by different regions of the Muslim world.","Aga Khan Centre, 10 Handyside Street, N1C 4DN",51.53757,-0.1248,10:00:00,16:00:00,Yes,No
Art in Perpetuity Trust,https://programme.openhouse.org.uk/listings/11049,"Open Studios, provides a unique glimpse to the architectural spaces and working studios of APT artists.  Over the weekend, there is also the opportunity to see our Group Show in the Gallery, curated by and featuring APT artist's work.","6 Creekdside, Harold Wharf, SE8 4SA",51.47686,-0.02099,13:00:00,18:00:00,No,
Artist Niamh Hannaford at One North Quay Canary Wharf,https://programme.openhouse.org.uk/listings/13750,"Set within the construction site of One North Quay, Canary Wharf, join us for a performance and installation presented by artist Niamh Hannaford using materials donated from the Canary Wharf construction site. This is an opportunity to gain exclusive access to a monumental building currently under construction, which will eventually house companies on the cutting edge of science and innovation.","One North Quay, Canary Wharf, E14 5GJ",51.50562,-0.02641,11:00:00,15:00:00,Yes,No
BT Tower,https://programme.openhouse.org.uk/listings/2735,"An enduring, distinctive feature of the London skyline for the last 54 years, this is a rare opportunity for members of the public to visit the famous revolving floor, 158m above the capital. After the flight the guests can watch a history of the BT Tower film in our auditorium.","45 Maple Street, W1T 4BG",51.52139,-0.13901,09:30:00,19:15:00,Yes,No
Bank of England Museum,https://programme.openhouse.org.uk/listings/2027,The museum is part of the Bank of England rebuilding in the 1930's by Sir Herbert Baker. One room is a reconstruction of 1793 Bank of England Stock Office by Sir John Soane.,"Bartholomew Lane, EC2R 8AH",51.51402,-0.08763,11:00:00,16:00:00,No,
Bodney Road Studios,https://programme.openhouse.org.uk/listings/13651,"Bodney Road Studio's is home to a range of practitioners working in the built environment including architectural photographer Lorenzo Zandri, graphic designers Polytechnic and place futurists The Place Bureau. Join us on 19–20 September when we will open the studios in conjunction with a programme of exhibitions and events by Lorenzo Zandri, Polytechnic, Sammi Gale and The Place Bureau.","1 Bodney Road, E8 1AY",51.55002,-0.06106,12:00:00,17:00:00,Yes,No
