name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
'If Stone Could Speak’: Day of Craft,https://programme.openhouse.org.uk/listings/13909,"Experience hands-on techniques with experts and artists in two nearby locations. Experiment with stone, paper sculpting and weaving. 
Part of a cultural programme delivered by City of London Corporation and Cheapside Business Alliance, produced by URBAN LEARNERS, encouraging discussion on reuse and heritage focused on historic granite stones repurposed as inclusive seating by St Paul’s Cathedral.","St Paul’s Churchyard, EC4M 8AD",51.51415,-0.09889,10:30:00,16:00:00,Yes,No
"All Saints Church, Tooting",https://programme.openhouse.org.uk/listings/12429,"A Gothic revival church of cathedral proportions completed in 1906 by Temple Moore with Italian baroque features from Bologna and Florence. Excellent acoustic design has enabled recordings from London Chamber Choir, Paul McCartney's tribute to Linda, Pavarotti, Placido Domingo, and many more!","All Saints Church, Tooting, Brudenell Road, SW17 8DQ",51.43028,-0.15707,10:00:00,12:00:00,No,
"Bankside Yards Historic Arches:  then, now, next",https://programme.openhouse.org.uk/listings/13821,"An architectural talk exploring the story of the historic Bankside Yards railway arches and their transformation into a new cultural destination on London’s Bankside. Now reopening after 150 years hidden from the public, the talk will offer an opportunity to discover how historic infrastructure can be reimagined to create vibrant new spaces while preserving the character and stories of the past.","Bankside Yards, SE1 9AX",51.50715,-0.10397,17:30:00,19:00:00,Yes,Yes
Beckenham Library,https://programme.openhouse.org.uk/listings/13782,"Beckenham Library is a busy public library,  which first opened in March 1939. It has been extended over the years and was extensively refurbished and re-opened in 2025. The library includes the study area with original wooden features, children's library with arts-themed  mural by artist Alice Patullo, and community space. The Battle of Britain Lace Panel has recently been installed.","Beckenham Library, Beckenham Road, Beckenham, BR3 4PE",51.40855,-0.03691,09:30:00,17:00:00,No,
Bharatiya Vidya Bhavan,https://programme.openhouse.org.uk/listings/13812,"The Bhavan UK is part of the global Bharatiya Vidya Bhavan movement, with 110 centres worldwide, including 105 in India. As a leading centre for Indian arts, culture and education in London, The Bhavan promotes shared cultural understanding and brings people together through music, dance, language, philosophy and community learning.","4a, Castletown Road, W14 9HE",51.4896,-0.20673,18:30:00,19:30:00,Yes,Yes
Burlington House: Linnean Society of London,https://programme.openhouse.org.uk/listings/2074,"The world's oldest active biological society. Founded in 1788, the Society takes its name from the Swedish naturalist Carl Linnaeus whose botanical, zoological and library collections have been in its keeping since 1829.","Piccadilly, W1J 0BF",51.50853,-0.13911,10:00:00,17:00:00,No,
Charing Cross Library,https://programme.openhouse.org.uk/listings/13932,"The building has had many incarnations since its construction in the 1890s as a woolen warehouse.   It became a home to the Italian Benevolent Society, then a fascist club, a serviceman's club, and now a library with the largest publicly accessible collection of Chinese language books in the UK.","4-6 Charing Cross Road, WC2H 0HF",51.51024,-0.12805,11:00:00,17:00:00,Yes,No
Chiswick Town Hall,https://programme.openhouse.org.uk/listings/2865,"Built initially as a vestry, it was later extended. Victorian and Edwardian interiors with rich tiles and stunning stained glass, one of the most beautiful Victorian interiors in London.","Heathfield Terrace, W4 4JN",51.4914109,-0.2656707,11:30:00,15:00:00,Yes,Yes
Corbett Community Library,https://programme.openhouse.org.uk/listings/13888,"Visit the Grade II listed Corbett Community Library building. This beautifully preserved Edwardian building is rich in architectural character and heritage, featuring , an impressive dome, ornate door handles, some stained glass and a historic brass plaque. Discover the history and craftsmanship of this remarkable community landmark during your visit.","Corbett Community Library, 103 Torridon Road, SE6 1RQ",51.44235,-0.00162,09:00:00,17:30:00,No,
"Crossing the Boundary, breaking the ground",https://programme.openhouse.org.uk/listings/11303,The walk crosses the Boundary Road which divides Westminster and Camden and focuses on projects that represent ground-breaking trends in architecture of 1960-70s while also reflecting on the era's passing and its long-lasting influences.,"8A Wellington Place, NW8 9LE",51.5311,-0.17157,10:30:00,12:30:00,Yes,Yes
Croydon Urban Room,https://programme.openhouse.org.uk/listings/12687,"The Croydon Urban Room is a space to talk about the past, present and future of the Croydon town centre. Through conversa­tions, stories, exhibitions and events, the Urban Room brings together the views of those who live, work and visit the area to create a shared vision of the future and test new uses live in action.","Units 161-162 & 1161-1162 Whitgift Centre, CR0 1UQ",51.37522,-0.10075,10:00:00,16:00:00,No,
"Designer-led tour of Gordon Street, Bloomsbury",https://programme.openhouse.org.uk/listings/13801,"Working with University College London and Camden Council, LDA Design, Norman Rourke Pryme and Darryl Moore have transformed Gordon Street, on the north side of Gordon Square in Bloomsbury to create a new 'college campus' for students, staff and the wider community. This has repurposed a road to create valuable new city green space. Find out what they did and how.","22 Gordon Street, The Bartlett School of Architecture, WC1H 0QB",51.52584,-0.13283,13:00:00,14:00:00,Yes,Yes
Dominion Theatre,https://programme.openhouse.org.uk/listings/269,"A Grade II listed art deco theatre in the heart of London. Built in 1929, this stylish building has had a varied and colourful history as a cinema, variety hall and music venue, as well as its original and current life as a theatre.","268-269 Tottenham Court Road W1 7AQ, W1T 7AQ",51.51696099999999,-0.1296672,11:30:00,14:45:00,Yes,Yes
Exploring Spring Grove Isleworth,https://programme.openhouse.org.uk/listings/9032,"Centred on Spring Grove House, once Sir Joseph Banks home, the 1850s vision was for a neighbourhood with grand villas designed by John Taylor Jr.. Today's  wider architecture includes a former college by John Norton & P Massey, plus quirky arts & crafts properties.","Forecourt, Isleworth Railway Station, London Road, Isleworth, TW7 4BX",51.47507,-0.33713,14:30:00,16:15:00,Yes,Yes
Fear and loathing on the South Bank of the Thames,https://programme.openhouse.org.uk/listings/13705,"For centuries the South Bank of the Thames sat outside the historic City of London's jurisdiction — and beyond its moral gaze. This walk traces how that freedom shaped the unique buildings and streets of Southwark, and how the regenerated riverfront we see today has preserved, adapted or quietly erased that past.","Bridge Theatre, 3 Potters Flds Pk, SE1 2SG",51.50413,-0.07738,16:00:00,18:00:00,Yes,Yes
Film Locations of the City,https://programme.openhouse.org.uk/listings/13040,"A walk around places in the City you might recognise (or not) from the silver screen. Visit the impressive sites used in major films, including Harry Potter, Mission Impossible, James Bond, and many more.","Leadenhall Market (under central atrium by Lamb Tavern), EC3V 1LT",51.51276,-0.08352,18:00:00,19:00:00,Yes,Yes
Fitzrovia Chapel,https://programme.openhouse.org.uk/listings/6534,"Loughborough Pearson's red brick building is unimposing from the outside, but inside is a riot of Gothic Revival design. Golden mosaics reveal the character of the Grade II* listed chapel, built as part of the Middlesex Hospital.","2 Pearson Square, Fitzroy Place, W1T 3BF",51.51895,-0.13826,11:00:00,18:00:00,No,
"Former Carbonic Gas Works, 142 Lea Bridge Road",https://programme.openhouse.org.uk/listings/13772,"Paradise works artist studios in the Old Carbonic Works that is thought to be the birthplace of commercial fizzy drinks in the late 18th Century. It features in the Lea Valley and Hackney Conservation area report found online.


https://hackney.moderngov.co.uk/documents/s68747/240220%20Appendix%20A%20Lea%20Bridge%20Conservation%20Area%20Appraisal.pdf","Paradise works, 142 Lea Bridge Road, E5 9RB",51.56146,-0.04632,14:00:00,20:00:00,No,
Freud Museum London,https://programme.openhouse.org.uk/listings/13671,"Freud Museum London is the final home of the founder of psychoanalysis, Sigmund Freud, where he and his family moved to flee Nazi persecution in 1938. Freud's famous study has been preserved as he left it upon his death in 1939, while the rest of the home has been carefully transformed into a Museum celebrating the life and work of Sigmund and his daughter Anna, a pioneering child psychologist.","20 Maresfield Gardens, Hampstead, NW3 5SX",51.54834,-0.17735,11:00:00,16:00:00,Yes,Yes
From Limehouse to Canary Wharf,https://programme.openhouse.org.uk/listings/13773,"Medieval industry, imperial trade, immigration, poverty, wartime destruction and modern regeneration have all left their mark on the Limehouse area. This walking tour covers a range of architects and architecture from C18th to C21st.","Old Limehouse Townhall, E14 7HA",51.51214,-0.03145,15:00:00,17:00:00,Yes,Yes
"Hidden City: Lost rivers, super sewers and sacred springs",https://programme.openhouse.org.uk/listings/13731,"Join this enjoyable stroll through the City of London, exploring the story of water and how it continues to shape the place we know today. We will follow in the footsteps of ancient Romans and famous Londoners such as Dick Whittington and Samuel Pepys, and discover how a forgotten river, ingenious water wheels and vast sewers have transformed life in the City from earliest days to the present.","Threadneedle Street (by Royal Exchange), EC3V 3LL",51.5138,-0.08755,10:00:00,12:00:00,Yes,Yes
IMPACT Community Arts Centre,https://programme.openhouse.org.uk/listings/12809,We are a theatre company for performers and artists with learning disabilities in the West London area. We will put on an exhibition of artworks and costumes at our Community Arts Centre.,"Ealing Central Sports Ground, Horsenden Lane South, Greenford",51.53539,-0.32577,10:00:00,16:00:00,No,
Ironmongers' Hall,https://programme.openhouse.org.uk/listings/754,"The Hall stands on land which was bought in 1922: construction work, which was undertaken by Holland, Hannen & Cubitts, started that year and the Hall was opened on 17 June 1925. Decorated in the Arts & Crafts style, and resplendent with art and treasures, visitors will gain access to areas not normally open to the public and will be guided by real Company members.","Barbican EC2, EC2Y 8AA",51.5181,-0.09642,10:00:00,15:00:00,Yes,Yes
