name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
1 Pontypool Place,https://programme.openhouse.org.uk/listings/13620,Tour of home & garden designed in 2018 by Nagan Johnson Architects,"1 Pontypool Place London London, Greater London, SE1 8QF",51.50192,-0.10591,12:00:00,17:00:00,Yes,No
"All Saints Church, Tooting",https://programme.openhouse.org.uk/listings/12429,"A Gothic revival church of cathedral proportions completed in 1906 by Temple Moore with Italian baroque features from Bologna and Florence. Excellent acoustic design has enabled recordings from London Chamber Choir, Paul McCartney's tribute to Linda, Pavarotti, Placido Domingo, and many more!","All Saints Church, Tooting, Brudenell Road, SW17 8DQ",51.43028,-0.15707,10:00:00,12:00:00,No,
Bankside: from arches to alleys,https://programme.openhouse.org.uk/listings/13692,"Bankside was once a secluded powerhouse of Victorian London, a place that kept industry in and casual visitors out. Today, it boasts a network of arches and alleyways repurposed for public use. Led by a Bankside insider, this tour explores the history and reclamation of the arch as a usable space through an emerging urban trail – including the brand-new America Street redevelopment.","Southwark Station, SE1 8JZ",51.50392,-0.10496,14:00:00,16:00:00,Yes,No
Barnard's Inn Hall,https://programme.openhouse.org.uk/listings/4838,"Barnard's Inn in Holborn dates back to the mid-13th century. It is now the home of Gresham College which has been providing free public lectures since 1597. Over the centuries it has been a law school and home to the Mercers' School. Notable architectural elements include 15th-century wooden bays, 16th-century linen fold wood panelling, and has the only surviving crown posts in Greater London.","Barnard's Inn Hall, Holborn, EC1N 2HH",51.5175436,-0.1098755,10:00:00,15:00:00,No,
Boston Manor House,https://programme.openhouse.org.uk/listings/10142,"Boston Manor House is a Jacobean House built for Lady Mary Reade in 1623 and later owned by the Clitherow family from the 1670s until the 1920s. The House is now open to the public with free entry six days a week. Its beautifully restored historic interiors, including breath-taking ornate plasterwork, are joined by two community exhibition galleries, meeting rooms and an attractive modern café.","Boston Manor House, Boston Manor Road, Brentford, TW8 9JX",51.49191829999999,-0.3183739,11:30:00,16:00:00,Yes,No
Brentford Then and Now/Brentford through the Ages,https://programme.openhouse.org.uk/listings/6782,"The walk starts in the Medieval market place, proceeds  through 17th century development and 18th century housing then explores 19th/20th century industrial legacy and striking new 21st century Thames-side regeneration schemes.","Market Square, Brentford,, Brentford, TW8 4EQ",51.48316,-0.30891,14:30:00,16:30:00,Yes,No
Broadwater Farm Estate Tour inc visit to New Homes site,https://programme.openhouse.org.uk/listings/13101,"Join us for a walking tour of Broadwater Farm (BWF) Estate & see up close the first new council homes built on the estate in 50 yrs. The tour will also incl. a visit to the historic England‑listed BWF Mosaic currently being restored, as well as the recently improved BWF community centre. To be delivered in collaboration with BWF stakeholders inc. Residents’ Ass, Harmony Gardens & The Lordship Rec.","BWF Community Centre N17, Tottenham, N17 6HG",51.59571,-0.0845,14:00:00,15:30:00,No,
Burlington House: Linnean Society of London,https://programme.openhouse.org.uk/listings/2074,"The world's oldest active biological society. Founded in 1788, the Society takes its name from the Swedish naturalist Carl Linnaeus whose botanical, zoological and library collections have been in its keeping since 1829.","Piccadilly, W1J 0BF",51.50853,-0.13911,10:00:00,17:00:00,No,
Charing Cross Library,https://programme.openhouse.org.uk/listings/13932,"The building has had many incarnations since its construction in the 1890s as a woolen warehouse.   It became a home to the Italian Benevolent Society, then a fascist club, a serviceman's club, and now a library with the largest publicly accessible collection of Chinese language books in the UK.","4-6 Charing Cross Road, WC2H 0HF",51.51024,-0.12805,11:00:00,17:00:00,Yes,No
Corbett Community Library,https://programme.openhouse.org.uk/listings/13888,"Visit the Grade II listed Corbett Community Library building. This beautifully preserved Edwardian building is rich in architectural character and heritage, featuring , an impressive dome, ornate door handles, some stained glass and a historic brass plaque. Discover the history and craftsmanship of this remarkable community landmark during your visit.","Corbett Community Library, 103 Torridon Road, SE6 1RQ",51.44235,-0.00162,09:00:00,17:30:00,No,
County Hall Kingston,https://programme.openhouse.org.uk/listings/13682,"London Square presents a rare opportunity to live within the sensitively restored former Surrey County Hall, complemented by a striking collection of contemporary new-build homes and commercial areas for hire.

Set in the heart of Kingston, residents enjoy a riverside town rich in culture, green spaces, shopping and dining - all with excellent connection to London and beyond.","Penrhyn Road, Kingston, KT1 2DN",51.40435,-0.30416,11:00:00,16:00:00,Yes,No
Creative Connections -  Beyond London Bridge,https://programme.openhouse.org.uk/listings/13775,"Join our walk to explore the hidden enclaves around London Bridge. Discover the secrets of the riverside and some of Southwark’s lesser-known historic corners. We’ll learn how businesses and residents within this diverse enclave, in a former industrial neighbourhood, are joining forces in response to a changing climate in the bid to reach Net Zero.","Team London Bridge, 8 Holyrood Street, SE1 2EL",51.50342,-0.08198,18:00:00,19:30:00,Yes,No
Croydon Urban Room,https://programme.openhouse.org.uk/listings/12687,"The Croydon Urban Room is a space to talk about the past, present and future of the Croydon town centre. Through conversa­tions, stories, exhibitions and events, the Urban Room brings together the views of those who live, work and visit the area to create a shared vision of the future and test new uses live in action.","Units 161-162 & 1161-1162 Whitgift Centre, CR0 1UQ",51.37522,-0.10075,10:00:00,16:00:00,No,
Culture House,https://programme.openhouse.org.uk/listings/13159,Culture House is the first permanent exhibition space for Somali artefacts curated by the Somali community.,"5A, Uxbridge Road, W12 8LJ",51.50508,-0.22558,14:00:00,20:00:00,Yes,No
