name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
"""Change: 40 Years of SOM London,” a special exhibition exploring design as a cultural practice",https://programme.openhouse.org.uk/listings/6325,"Enjoy one of two exclusive tours of a special exhibition, ""Change,"" celebrating SOM London’s 40th anniversary and SOM’s 90th anniversary worldwide. Discover rare insights into the work of the globally renowned architecture, engineering and urban planning practice, and explore how innovative design, technology, materials and construction are shaping a more resilient and sustainable future.",Marylebone Hall (groundfloor of Marylebone Square),51.51942,-0.15295,13:00:00,16:00:00,Yes,Yes
'Stories of Belonging' Film Screening,https://programme.openhouse.org.uk/listings/13911,"Stories of Belonging – It Takes Courage, is a short film by Halyna Skvortsova, which explores how different waves of migration have shaped Lewisham, featuring voices from the Windrush Generation and Vietnamese, African, Eastern European, Afghan, and Ukrainian communities. 

The screening takes place in the new SHAPES Lewisham community space, for creatives to meet, work, learn and collaborate.","SHAPES Lewisham, Studio 1 Carriage Way, Octavius Street, SE8 4BY",51.47811,-0.02705,13:30:00,15:00:00,Yes,No
1-4 Suffolk Street: Uni of Notre Dame & G.K Chesterton,https://programme.openhouse.org.uk/listings/11735,"Built for the United Universities Club, 1-4 Suffolk Street  is now home to the University of Notre Dame and its G.K Chesterton Collection. Visitors will be able to enjoy both this Edwardian listed building and the unique collection within.","1-4 Suffolk Street, SW1Y 4HG",51.50831849999999,-0.1304929,10:00:00,14:30:00,Yes,Yes
1.20 Oxo Tower Wharf,https://programme.openhouse.org.uk/listings/8766,"Carreducker bespoke shoemakers and Shoe & Leather School is located at Unit 1.20, one of 25 workshop and retail units in Oxo Tower Wharf. It overlooks the courtyard towards the Bargehouse building from the first floor walkway and is a multi-purpose space used as a workshop, showroom and teaching space.","Unit 1.20, The Courtyard, Oxo Tower Wharf, SE1 9PH",51.50846,-0.10827,11:00:00,18:00:00,No,
15 Edge Hill,https://programme.openhouse.org.uk/listings/5129,"New build rear extension to Victorian house, entailing extensive remodelling of ground floor to create a large open plan flow-through living, dining and kitchen space. Close integration with the garden is achieved by careful design of levels and paving surfaces.","15 Edge Hill, SW19 4LR",51.41664,-0.2194,10:00:00,16:00:00,No,
1930s Bloomsbury walking tour,https://programme.openhouse.org.uk/listings/13283,"The leafy Georgian streets of Bloomsbury were shaken up in the 1930s by a new wave of development, from great academic institutions to speculative flats for modern urban living, plus probably the most stylish car showroom in London. We'll explore the range of 1930s architectural styles used in some famous and not so famous buildings, and even take a peek inside where we can.","Tottenham Court Road, outside the Dominion Theatre, W1T 7AQ",51.51668,-0.13035,11:00:00,13:00:00,Yes,Yes
2 Belgrave Road: Victorian house with Luis Barragán inspired interior,https://programme.openhouse.org.uk/listings/13700,"A Luis Barragán inspired design for the interior of a typical late Victorian house in East London. 
The use of bold vivid colour banishes the sterility that can accompany modernism without the loss of its hallmark simplicity and elegant line. This approach can be accommodated within houses whose external architecture has a very different heritage. Its achievement does not require a big budget","2 Belgrave Road, E17 8QE",51.57916,-0.02119,11:00:00,17:00:00,No,
22 Parkside AKA Roger's House,https://programme.openhouse.org.uk/listings/1491,"Built as a private house for his parents, the project encapsulates Rogers' vision of a home built using industrially manufactured components. As such it was seen as a prototype for mass affordable housing. Opening for the Festival in association with The Wimbledon Society","22 Parkside, SW19 5NA",51.426534,-0.2222801,10:00:00,16:00:00,Yes,Yes
3D Printing at Design District,https://programme.openhouse.org.uk/listings/11331,"Step inside Champion 3D’s working 3D printing studio at Greenwich Peninsula’s Design District. Visitors can see FDM 3D printers in action, handle different printed materials, explore finished models and learn how digital designs become physical objects.","10 Monro Way, Unit 1.1, Building A4, Greenwich, SE10 0EJ",51.49988,0.00503,11:00:00,16:00:00,No,
6 Moretown (Gensler London Studio),https://programme.openhouse.org.uk/listings/10591,"A contemporary adaptation of a 1980s office building, and home of global design firm Gensler. Each level of the building is connected by a structural timber facade and set of stairs, and the new 5th floor cantilevers from the roof.","6 Moretown, Tower Hamlets, E1W 1YW",51.50782,-0.06809,10:00:00,16:00:00,Yes,No
72 Kynaston Road,https://programme.openhouse.org.uk/listings/13251,"72 Kynaston Road, N16, is a typical Stoke Newington two storey terraced house.
A simple side return extension expands the kitchen/dining area and connects it to the reception rooms.
What stands out in this design are a generous oriel window seat on to the garden, a bespoke kitchen finished in cherry wood, and the clients bold choice of floor tile.","72 Kynaston Road, Stoke Newington, Hackney, N16 0ED",51.56025,-0.07848,10:00:00,13:00:00,No,
A Ruskinian Walk Through Shared Heritage,https://programme.openhouse.org.uk/listings/4686,"Ruskinian walk from RIBA award-winning Chiswick Business Park, Gunnersbury Triangle Nature Reserve through South Acton Estate, birthplace of artist Patrick Caulfield; Woodlands Park Ice House; to home of William Willett, initiator of Daylight Saving Time.","Building 3, Chiswick Business Park, 566 Chiswick High Road, W4 5YA",51.49461,-0.27587,12:00:00,14:30:00,Yes,Yes
All Saints Carshalton,https://programme.openhouse.org.uk/listings/3749,"12C south aisle and former chancel. Blomfield nave, chancel, baptistry. Kempe glass, Bodley reredos and screen, spectacular Comper decorations, monuments and brasses, award-winning lighting scheme, fine modern benches.","High Street, Carshalton, SM5 3AG",51.36488,-0.16291,12:00:00,17:00:00,No,
"All Saints Church, Edmonton",https://programme.openhouse.org.uk/listings/11274,"Listed Grade ll* and celebrating its 890th year, All Saints Church  has aspects of the fabric dating back to at least early C12 with further modification and additions in the 15th, 17th and 19th centuries.  Charles and Mary Lamb lived on Church Street, where the church is situated and are buried in the Garden of Remembrance within the churchyard.","All Saints Church, Church Street, N9 9AT",51.62622649999999,-0.065944,12:00:00,16:00:00,No,
"All Saints Church, Kenley",https://programme.openhouse.org.uk/listings/12568,"All Saints was founded in 1871 and is proud to touch the lives of many people in the community through outreach and mission.
The church building is Grade 2 listed and is both beautiful and traditional in style.","Church Road, Kenley, CR8 5DU",51.3221,-0.09911,10:00:00,16:00:00,No,
"All Saints Church, Upper Norwood",https://programme.openhouse.org.uk/listings/11192,"Historical connections:
Vice Admiral Fitzroy(grave within Church Grounds),
Charles Darwin,
Crystal Palace Great Exhibition,
Camille Pissarro (Painter exhibits National Gallery),
Charles Dickens,
(Grave within Church grounds),
Isambard Kingdom Brunel,
Felix Mendelssohn, Marie Tussauds to name but a few. 
Famous artist Camille Pissarro painted local scenes.","All Saints Church, Church Road, SE19 3EP",51.41129,-0.0863,11:00:00,16:00:00,No,
An ideal city tour with a landscape architect,https://programme.openhouse.org.uk/listings/13703,"Moving through the King’s Cross area, the tour explores how green spaces shape everyday life. Walk with a landscape architect to see how design intentions are maintained, adapted, or reinterpreted by the people who use them. By speaking with designers, planners and local residents as part of the tour research, the tour captures stories that reveal how public spaces are imagined, experienced and shared.","IFO (Bird Cage) art installation, Battle Bridge Place, N1C 4TB",51.53218,-0.12504,10:30:00,12:30:00,Yes,Yes
Argentine Ambassador's Residence,https://programme.openhouse.org.uk/listings/2060,"During the Open House Festival people will have the unique opportunity to explore the historic mansion.  Opening its doors on this special occasion, visitors will enjoy unprecedented access to the Argentine Ambassador's Residence in the UK and explore a glimpse of our culture through an art exposition of different Argentine artists.","49 Belgrave Square, SW1X 8QZ",51.50055039999999,-0.1531897,10:00:00,17:00:00,No,
Armourers' Hall,https://programme.openhouse.org.uk/listings/12459,"Late Georgian Livery Hall rebuilt in 1839. Highlights include the main Hall, featuring a stunning 1870s lantern ceiling, and displays of historic arms and armour throughout the building.","Armourers' Hall, 81 Coleman Street, EC2R 5BJ",51.51719,-0.08936,10:30:00,17:15:00,Yes,Yes
Avery Hill Winter Garden,https://programme.openhouse.org.uk/listings/13806,"The Avery Hill Winter Garden is a remarkable Victorian glasshouse set within the historic Avery Hill estate in southeast London. Built in the late 19th century, it was once home to an extensive collection of exotic plants and remains one of London’s largest surviving Victorian winter gardens.","Avery Hill Park, SE9 2PQ",51.44821,0.07451,10:00:00,16:00:00,No,
BAPS Shri Swaminarayan Mandir,https://programme.openhouse.org.uk/listings/1645,"Europe’s first traditional Hindu temple is a masterpiece of exquisite Indian craftsmanship. Using 5,000 tonnes of Italian and Indian marble and the finest Bulgarian limestone, it was hand-carved in India before being assembled in London.","1 Pramukh Swami Road, Neasden, NW10 8HW",51.54789,-0.26243,10:00:00,16:00:00,No,
Barnsbury Flat,https://programme.openhouse.org.uk/listings/13796,"Renovated by Fynn Architects, this early Victorian flat in the Barnsbury Conservation Area has been reconfigured for a young family. The previous layout left the kitchen stranded in a cramped, pokey room at the rear, so the project brings it forward into the front room and reworks the layout around how the family actually lives, adding a new WC and a nursery for the new arrival.","63C Richmond Avenue, N1 0LX",51.53885,-0.11282,10:00:00,16:30:00,No,
Bazalgette Mausoleum,https://programme.openhouse.org.uk/listings/11170,"Portland stone mausoleum of Sir Joseph Bazalgette, composed of an obelisk above a square rusticated base, with steps leading down to the arched entrance of the vault.

Originally built for a different man, John Anthony Rucker, Bazalgette updated the mausoleum to its current look in c.1886.","St Mary's Church, 30 St Mary's Road, Wimbledon, SW19 7BP",51.42844,-0.21071,11:00:00,15:00:00,No,
Benjamin Franklin House,https://programme.openhouse.org.uk/listings/2347,"Just steps from Trafalgar Square is Benjamin Franklin House, the world's only remaining Franklin home.

For nearly sixteen years between 1757 and 1775, Benjamin Franklin – scientist, diplomat, philosopher, inventor, and Founding Father of the United States – lived behind its doors.

Built circa 1730, we are a Grade I listed house, with largely original flooring and wall paneling.","36 Craven Street, WC2N 5NF",51.5076423,-0.1248869,10:00:00,15:00:00,No,
Bethlehem Chapel Richmond upon Thames,https://programme.openhouse.org.uk/listings/8264,"An independent Calvinistic chapel on the east side of Church Terrace in Richmond, London. Built in 1797, the small 1-storey stuccoed building is Grade II* listed. It still has its original galleried interior with pews and pulpit.","Bethlehem Chapel, Church Terrace, Richmond upon Thames , TW10 6SE",51.45904,-0.30367,10:00:00,15:30:00,No,
