name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
Aldgate walking tour,https://programme.openhouse.org.uk/listings/13912,A guided walk around the fascinating and often overlooked area of Aldgate in the City of London.,"Aldgate Station, EC3N 1AH",51.51447,-0.0755,18:00:00,19:00:00,Yes,No
Andaz London Liverpool Street,https://programme.openhouse.org.uk/listings/11391,"Andaz London Liverpool Street, a concept by Hyatt, blends rich history dating back to the 1200s with modern decor and the vibrant energy of its London neighborhood.

Step inside and join us for an open house tour led by our dedicated team!","Andaz London, 40 Liverpool Street, EC2M 7QN",51.517312,-0.0813472,15:00:00,15:30:00,Yes,No
Bethlem Royal Hospital,https://programme.openhouse.org.uk/listings/12129,"Guided walking tours of the grounds of Bethlem Royal Hospital, taking in the Hospital's historic Chapel, its beautiful grounds, the GUTS Cafe, Bethlem Museum of the Mind, and Bethlem Gallery.","Bethlem Museum of the Mind, Beckenham, BR3 3BX",51.38092,-0.02931,10:30:00,14:00:00,Yes,No
Corbett Community Library,https://programme.openhouse.org.uk/listings/13888,"Visit the Grade II listed Corbett Community Library building. This beautifully preserved Edwardian building is rich in architectural character and heritage, featuring , an impressive dome, ornate door handles, some stained glass and a historic brass plaque. Discover the history and craftsmanship of this remarkable community landmark during your visit.","Corbett Community Library, 103 Torridon Road, SE6 1RQ",51.44235,-0.00162,09:00:00,17:30:00,No,
Croydon Urban Room,https://programme.openhouse.org.uk/listings/12687,"The Croydon Urban Room is a space to talk about the past, present and future of the Croydon town centre. Through conversa­tions, stories, exhibitions and events, the Urban Room brings together the views of those who live, work and visit the area to create a shared vision of the future and test new uses live in action.","Units 161-162 & 1161-1162 Whitgift Centre, CR0 1UQ",51.37522,-0.10075,10:00:00,16:00:00,No,
Explore the authentically recreated Colony Room,https://programme.openhouse.org.uk/listings/12933,"A revival and love letter to London’s lost bohemia. Travel back in time to the legendary haunt of some of Soho's greatest creatives.   Featuring pictures, press cuttings and even the piano from the much loved private members club.","4 Heddon Street, W1B 4BS",51.51092,-0.13932,14:00:00,23:00:00,No,
Fitzrovia Chapel,https://programme.openhouse.org.uk/listings/6534,"Loughborough Pearson's red brick building is unimposing from the outside, but inside is a riot of Gothic Revival design. Golden mosaics reveal the character of the Grade II* listed chapel, built as part of the Middlesex Hospital.","2 Pearson Square, Fitzroy Place, W1T 3BF",51.51895,-0.13826,11:00:00,18:00:00,No,
Flood Meadows at Hampton Court,https://programme.openhouse.org.uk/listings/10614,A guided walk through Home Park Water Meadows with Thames Landscape Strategy. It is the site of a wetland restoration project that has increased biodiversity and sustainability on the historic site. It is not usually open to the public.,"1 Hampton Ct Rd, Hampton Wick, Molesey , KT1 4AE",51.41091600000001,-0.311975,17:00:00,19:00:00,Yes,No
"Flux Innovation Lounge, Greenwich Design District",https://programme.openhouse.org.uk/listings/13545,"Flux Innovation Lounge opens its doors for Open House Festival, inviting visitors to explore where physical, virtual and immersive worlds meet. Described as one of London’s most celebrated creative venues and a hotbed for innovation and technology, Flux is a working innovation space where ideas are tested, experienced and brought to life. Join us to discover the future of the built environment.","Building B2 Unit 1, 1st Floor,, 1 Barton Yard, Soames Walk,, SE10 0BN",51.49951,0.00592,10:00:00,11:00:00,Yes,No
From Limehouse to Canary Wharf,https://programme.openhouse.org.uk/listings/13773,"Medieval industry, imperial trade, immigration, poverty, wartime destruction and modern regeneration have all left their mark on the Limehouse area. This walking tour covers a range of architects and architecture from C18th to C21st.","Old Limehouse Townhall, E14 7HA",51.51214,-0.03145,15:00:00,17:00:00,Yes,No
IMPACT Community Arts Centre,https://programme.openhouse.org.uk/listings/12809,We are a theatre company for performers and artists with learning disabilities in the West London area. We will put on an exhibition of artworks and costumes at our Community Arts Centre.,"Ealing Central Sports Ground, Horsenden Lane South, Greenford",51.53539,-0.32577,10:00:00,16:00:00,No,
Kenwood,https://programme.openhouse.org.uk/listings/835,"A striking Neoclassical villa in tranquil gardens on Hampstead Heath, Kenwood boasts breath-taking interiors by Robert Adam and a world-class art collection.","English Heritage, Hampstead Lane, NW3 7JR",51.5713284,-0.1675998,11:00:00,12:00:00,Yes,No
King's Cross Masterplan,https://programme.openhouse.org.uk/listings/7788,The Stirling-prize shortlisted King’s Cross Masterplan established a framework for the incremental redevelopment of this industrial heritage site through a mix of uses and a network of public spaces structuring new urban blocks and knitting the site into its context.,"In front of Bird Cage sculpture, N1C 4TB",51.53218,-0.12504,12:30:00,14:00:00,Yes,No
London National Park City Visitors Centre,https://programme.openhouse.org.uk/listings/12692,"London is the world's first National Park City, and our visitors centre at 80 Mortimer Street is the entry point to hundreds of places to visit and things to do across a greener, healthier and wilder London.","80 Mortimer St, W1 7FE",51.51756,-0.14246,10:00:00,18:00:00,Yes,No
London Open Form Pavilion of Air,https://programme.openhouse.org.uk/listings/11855,"A floating acoustic architecture, playfully reframing public space as an essential community engagement through sound & site mapping. Accessed by smartphone, headphones & echoes.xyz app, the Pavilion is located outside the Serpentine Gallery,. Drawing on Oskar & Zofia Hansen’s Open Form architectural concept it is one of 15 in a series including Venice, Berlin, Dublin, Bergen and Arctic Norway.","Kensington Gardens, W2 3XA",51.50466,-0.17464,06:00:00,19:30:00,No,
"Morris+Company | 'Waste Not: Materials, Making and the Circular Economy' Exhibition",https://programme.openhouse.org.uk/listings/12130,"Morris+Company is an award-winning architecture practice based in Hackney, east London. We have applied circular economy principles to the retrofit of our own studio, gallery and café space on Mare Street, reducing waste, reusing materials, and designing for longevity.  We place the creative ‘act’ of architecture onto the high street, reveal our practice to the public and engage local communities.","215-217 Mare Street, E8 3QE",51.54152,-0.05552,10:00:00,16:00:00,No,
Parkland Walk,https://programme.openhouse.org.uk/listings/13859,"A walking workshop exploring the intersections of nature and urban space along Parkland Walk, a former railway transformed into London's longest local nature reserve. Through sensory and reflective exercises, participants will investigate ecological succession, green infrastructure, and the ways human and more-than-human worlds shape, reclaim, and coexist within the city.","Parkland Walk, N4 3EY",51.56999,-0.10635,11:00:00,14:00:00,Yes,No
