name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
8-10 Moorgate,https://programme.openhouse.org.uk/listings/6515,"Dutch bank ING moved its UK office to this special building in 2016.  The building blends a historic exterior (including its original Portland stone façade) with a modern 135,220 sq ft of office space. City Heritage Award winner 2015.","8-10 Moorgate, EC2R 6DA",51.5155,-0.08929,17:00:00,19:00:00,Yes,No
A House within a House,https://programme.openhouse.org.uk/listings/11910,"This project is the refurbishment and connection of the lower and upper ground floor flats to form a new house within the
body of a late Victorian townhouse in the Belsize Park Conservation Area.
Winner of a RIBA London Award 2023.","27AB Belsize Crescent, NW3 5QY",51.5495728,-0.1727607,13:00:00,15:45:00,Yes,No
Architecture Defrosted,https://programme.openhouse.org.uk/listings/13714,"The relationship between music and architecture is often overlooked. With reference to some of London’s St James architectural gems, this tour traces the symbiotic evolution of these two disciplines, from their overlapping foundations to the modern-day role of music as the built environment’s  muse.","Outside Institute of Contemporary Arts, The Mall, SW1Y 5AH",51.50604,-0.13117,14:00:00,15:45:00,Yes,No
Barnard's Inn Hall,https://programme.openhouse.org.uk/listings/4838,"Barnard's Inn in Holborn dates back to the mid-13th century. It is now the home of Gresham College which has been providing free public lectures since 1597. Over the centuries it has been a law school and home to the Mercers' School. Notable architectural elements include 15th-century wooden bays, 16th-century linen fold wood panelling, and has the only surviving crown posts in Greater London.","Barnard's Inn Hall, Holborn, EC1N 2HH",51.5175436,-0.1098755,10:00:00,16:00:00,No,
Billingsgate Roman House & Baths,https://programme.openhouse.org.uk/listings/5296,"Some of London's best Roman remains, comprising late 2C house with a 3C bath house built within its courtyard. First discovered in 1848.","101 Lower Thames Street, EC3R 6DL",51.50928,-0.08305,18:00:00,19:45:00,Yes,No
Brook Green walk,https://programme.openhouse.org.uk/listings/12421,"A walk around Brook Green with emphasis on the buried lost river, Stamford Brook.","Hammersmith station, Hammersmith and City line, W6 7AA",51.49343,-0.22501,10:30:00,12:00:00,Yes,No
Burlington House: Linnean Society of London,https://programme.openhouse.org.uk/listings/2074,"The world's oldest active biological society. Founded in 1788, the Society takes its name from the Swedish naturalist Carl Linnaeus whose botanical, zoological and library collections have been in its keeping since 1829.","Piccadilly, W1J 0BF",51.50853,-0.13911,10:00:00,17:00:00,No,
Christ's Chapel of God's Gift at Dulwich,https://programme.openhouse.org.uk/listings/13505,"Christ’s Chapel in Dulwich, consecrated in 1616, is an active place of worship and Grade II-listed chapel in the heart of Dulwich Village. It was conceived as the focus for the College of God's Gift, founded by the Elizabethan actor-manager and entrepreneur Edward Alleyn (1566-1626), a complex which also comprised of a school and almshouses and which still provides homes to older residents.","14 Gallery Road, SE21 7AD",51.44632,-0.08643,14:00:00,15:30:00,No,
County Hall Kingston,https://programme.openhouse.org.uk/listings/13682,"London Square presents a rare opportunity to live within the sensitively restored former Surrey County Hall, complemented by a striking collection of contemporary new-build homes and commercial areas for hire.

Set in the heart of Kingston, residents enjoy a riverside town rich in culture, green spaces, shopping and dining - all with excellent connection to London and beyond.","Penrhyn Road, Kingston, KT1 2DN",51.40435,-0.30416,11:00:00,16:00:00,Yes,No
Crafts Council Gallery,https://programme.openhouse.org.uk/listings/13695,"Step inside the Grade II-listed Crafts Council Gallery, a unique venue for hire in the heart of London and the home to the Crafts Council, the UK’s national charity for craft. 

Handle objects from our collection, explore self-directed making through our Make First approach, browse our craft books, and meet the team as we re-establish the building as the national home for craft.","Crafts Council Gallery, 44a Pentonville Road, N1 9BY",51.53224,-0.10846,11:00:00,15:00:00,Yes,No
