name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
'Povera' Shed Exhibition,https://programme.openhouse.org.uk/listings/13886,"'Povera' meaning 'poor art' in Italian, is an ongoing project made by mixed-media artist Michael Connell. 

In his back garden in Catford, Michael has built an unbelievable shed, fusing art and nature, that's made entirely of waste materials from skips and people's unwanted items.

Exploring themes of music, family, heritage and nature, step inside the ever-evolving magic of the Povera shed.","Bellingham Station, Randlesdown Road, SE6 3BT",51.43285,-0.0195,11:00:00,16:00:00,Yes,Yes
1 Pontypool Place,https://programme.openhouse.org.uk/listings/13620,Tour of home & garden designed in 2018 by Nagan Johnson Architects,"1 Pontypool Place London London, Greater London, SE1 8QF",51.50192,-0.10591,13:00:00,18:00:00,Yes,No
12 Church Grove,https://programme.openhouse.org.uk/listings/10389,"The first residents have moved into the capital’s biggest community-led self-build project, coordinated by the Rural Urban Synthesis Society (RUSS): 36 flats in two linked buildings, a new public riverside garden and shared community spaces. As a Community Land Trust, RUSS aims to create sustainable and permanently affordable homes in a community woven into the wider communities of Lewisham.","12 Church Grove, SE13 7UU",51.4573883,-0.0171736,11:00:00,16:00:00,Yes,No
"141 Coldershaw Road, W13",https://programme.openhouse.org.uk/listings/13626,"The home of Eric and Jessica Huntley , community activists and educators who founded the pioneering company Bogle-L'Ouverture Publications in 1968, lived and ran their bookshop from this semi detached property soon after.  The house is a Black British cultural archivists dream; filled with books, arts and craft and correspondence from the 1960s to the present day.","141 Coldershaw Road, Ealing, W13 9DU",51.50504,-0.32522,12:00:00,17:00:00,No,
18 Lauradale Road,https://programme.openhouse.org.uk/listings/13661,"Fantastic views across an archery field to Highgate Woods are the focus of two new contemporary extensions to a small family house in Muswell Hill.
Features include: Green roof, Zinc cladding, Stainless steel kitchen, Beautiful tiling, Big windows, Pebbledash crown, and a sculptural concrete bench.","18 Lauradale Road, Muswell Hill, N2 9LU",51.58844,-0.15351,13:00:00,17:00:00,No,
2 Belgrave Road: Victorian house with Luis Barragán inspired interior,https://programme.openhouse.org.uk/listings/13700,"A Luis Barragán inspired design for the interior of a typical late Victorian house in East London. 
The use of bold vivid colour banishes the sterility that can accompany modernism without the loss of its hallmark simplicity and elegant line. This approach can be accommodated within houses whose external architecture has a very different heritage. Its achievement does not require a big budget","2 Belgrave Road, E17 8QE",51.57916,-0.02119,11:00:00,17:00:00,No,
25 Brunswick Street,https://programme.openhouse.org.uk/listings/13563,"Full refurbishment and extension of a Victorian terraced house in Walthamstow Village. The project reconfigures a previously compromised layout to create a brighter, more coherent home, improving its relationship to the street and garden. A careful material palette and environmental upgrades enhance both spatial quality and long-term performance.","25 Brunswick Street, E17 9NB",51.58183,-0.00859,11:00:00,15:00:00,No,
44 Monsell Road,https://programme.openhouse.org.uk/listings/12728,"44 is a reconfiguration and extension of a charming and peculiar Victorian house. The original building was an opportunistic infill in the garden of an adjacent home, sitting alone behind two terraced streets. The architect and home owner saw the potential to expand the modest building, creating a pocket home which keeps their growing family in the community they have called home for 15 years.","44 Monsell Road, N4 2EJ",51.56033,-0.1039,10:00:00,17:00:00,No,
"6 Fitzroy Square, The Georgian Group",https://programme.openhouse.org.uk/listings/13668,"As part of Vanbrugh300, step inside the Georgian Group's historic headquarters at 6 Fitzroy Square for a day of talks, exhibitions and rare access celebrating the life and legacy of Sir John Vanbrugh.","The Georgian Group, 6 Fitzroy Square, W1T 5DX",51.52331,-0.13954,10:00:00,15:00:00,No,
6 Moretown (Gensler London Studio),https://programme.openhouse.org.uk/listings/10591,"A contemporary adaptation of a 1980s office building, and home of global design firm Gensler. Each level of the building is connected by a structural timber facade and set of stairs, and the new 5th floor cantilevers from the roof.","6 Moretown, Tower Hamlets, E1W 1YW",51.50782,-0.06809,10:00:00,16:00:00,Yes,Yes
